project,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys,Creek Surveys
sample_event,,,,,,,,,
stream_name,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek,Dry Creek
site_name,PHAB 1,PHAB 2,PHAB 3,PHAB 1,PHAB 2,PHAB 3,PHAB 1,PHAB 2,PHAB 3
sample_date,5/11/2022,6/17/2022,6/27/2022,6/22/2023,6/20/2023,6/20/2023,9/17/2024,9/11/2024,9/10/2024
reach_length,150,150,150,150,150,150,150,150,150
elevation,170,170,170,170,170,170,170,170,170
GPS_lat,,,,,,,,,
GPS_long,,,,,,,,,
pct_fine,0,0,8,1.333333333,0,1.333333333,0,0,0
pct_sand,5.333333333,16,16,10.66666667,8.666666667,8.666666667,2.666666667,10.66666667,14
pct_gravel,1.333333333,0,0,3.333333333,5.333333333,0,8,4,3.333333333
pct_pebble,20.66666667,32,28,21.33333333,18.66666667,32.66666667,24.66666667,26.66666667,32.66666667
pct_cobble,20,13.33333333,2.666666667,8,10.66666667,10,15.33333333,18,8.666666667
pct_boulder,19.33333333,5.333333333,8.666666667,20.66666667,23.33333333,12,16,7.333333333,8.666666667
D50,80,17,17,45,65.5,37,46,52.5,44
temp,,,,21.8,23.9,22.4,,,
pH,,,,7.93,8.1,7.92,,,
conductivity,214.56,,,204.6,206.1,186,,,
DO,9.53,,,,,,,,
alkalinity,,,,,,,,,
turbidity,,,,,,,,,
N,,,,,,,,,
P,,,,,,,,,
pct_stable,15,100,100,42.5,75,72.5,55,85,92.5
pct_eroding,75,0,0,15,15,12.5,7.5,0,7.5
pct_vh,0,0,0,0,0,0,30,52.5,47.5
pct_vb,0,0,0,0,0,0,10,10,47.5
pct_vt,0,0,0,0,0,0,5,0,5
pct_a,0,22.5,0,25,77.5,0,27.5,35,0
pct_o,0,0,2.5,45,20,10,27.5,2.5,0
pct_undercut,0,0,0,15,10,10,0,0,10
avg_embed,4,11.4,31.6,15.6,21.2,25.6,10.8,11.4,5.2
avg_stream_width,1305.35,1029,1580,1140.75,1677.5,1571.5,1485.75,1140.5,1458.5
std_dev_stream_width,270.5,375.9,300.2,327.2,347.6,320.8,370.7,320.6,475.4
pct_pool,53,14.8,149,86,29,126,0,34,138
pct_riffle,71,85.2,0,39,20,8,-26,24,0
pct_transition,-24,0,-49,-25,51,-34,126,42,-38
max_depths,140,200,460,100,150,130,99,140,138
avg_Q_cm3_s,4413914.2,579271,590930,574320,620001,314940.5,272407,244789,0
avg_Q_m3_s,4.4139,0.5793,0.5909,0.5743,0.62,0.3149,0.2724,0.2448,0
avg_Q_cfs,155.8759234,20.45676421,20.86849794,20.28192127,21.89513071,11.12201983,9.619963311,8.644642755,0
std_dev_Q_cm3_s,,,,,,,,,
std_dev_Q_m3_s,1.7581,0.506,0.6116,0.2562,0.2797,0.2922,0.1593,0.3731,0
std_dev_Q_cfs,,,,,,,,,
percent_riparian_shade,2%,11%,34%,31%,9%,48%,17%,29%,44%
